Manufacturer,Model,Year
Apple,iPhone 6 & 6 Plus,2014
Apple,iPhone 6S & 6S Plus,2015
Apple,iPhone 7 & 7 Plus,2016
Apple,"iPhone11, 11Pro & 11Pro Max",2019
Apple,"iPhone XR, iPhone XS & iPhone XS Max",2018
Apple,iPhone 8 & 8 Plus,2017
Apple,"iPhone 12, 12 mini ,12 Pro & 12 Pro Max",2020
Apple,iPhone X,2017
Samsung,Galaxy S7 & Galaxy S7 edge,2016
Samsung,Galaxy S6 & Galaxy S6 edge,2015
Samsung,Galaxy S8 & Galaxy S8+,2017
Samsung,"Galaxy S10, Galaxy S10+ & Galaxy S10e",2019
Samsung,Galaxy S9 & Galaxy S9+,2018
Huawei,"P20, P20 Pro & P20 Lite",2018
Samsung,Galaxy A10,2019
Xiaomi,Redmi Note 8 & Redmi Note 8 Pro,2019
Apple,iPhone 12 Pro Max,2020
Samsung,"Galaxy S20, Galaxy S20+ & Galaxy S20 Ultra",2020
Samsung,Galaxy Grand Prime Plus,2016
Samsung,Galaxy A50,2019
Apple,iPhone SE (2nd generation),2020
Samsung,Galaxy A51,2019
Samsung,Galaxy A20,2019
Xiaomi,Redmi Note 7 & Redmi Note 7 Pro,2019
Huawei,P30 & P30 Pro,2019
Samsung,Galaxy A21s,2020
Huawei,Mate 10 & Mate 10 Pro,2017
Huawei,Mate 20 & Mate 20 Pro,2018
Samsung,Galaxy A01,2019
Huawei,Mate 9,2016
Samsung,Galaxy A11,2020
Samsung,Galaxy J2 Core,2018
Xiaomi,Redmi Note9 Pro,2020
Samsung,"Galaxy S21, Galaxy S21+ & Galaxy S21 Ultra",2021
Huawei,Mate 30 & Mate 30 Pro,2019
Samsung,Galaxy S22 Ultra,2022
LG,G3,2014
Samsung,Galaxy Note 8,2017
Xiaomi,Redmi 6A,2019
Samsung,Galaxy S20 FE,2020
Oppo,A5,2019
Samsung,Galaxy Note 9,2018
Samsung,Galaxy A30,2019
Xiaomi,Redmi 8A,2019
Oppo,F1 Plus,2016
Xiaomi,Redmi 8,2019
Samsung,Galaxy J4+,2018
Samsung,Galaxy J6+,2018
Samsung,Samsung Galaxy S24 Ultra,2024
Samsung,Samsung Galaxy J9+,2014
Samsung,Samsung Galaxy 414 4G,2023
Samsung,Galaxy A10s,2019
Samsung,Samsung Galaxy S23 FE,2023
Samsung,Galaxy A30s,2019
LeTV,LeEco Le 1s,2016
Samsung,Samsung Galaxy A55,2024
Samsung,Samsung Galaxy S24,2024
Samsung,Samsung Galaxy A15 4G,2023
Google,Pixel & Pixel XL,2016
